Match_ID,Match_Date,Venue,CityTown,StateProvince,Country
1323,07.03.2011,American Airlines Center,Dallas,Texas,USA
1322,06.03.2011,Reed Arena At Texas A&M University,College Station,Texas,USA
1321,05.03.2011,Rapides Parish Coliseum,Alexandria,Louisiana,USA
1320,04.03.2011,Baton Rouge River Center,Baton Rouge,Louisiana,USA
1319,28.02.2011,HSBC Arena,Buffalo,New York,USA
1318,28.02.2011,HSBC Arena,Buffalo,New York,USA
1317,26.02.2011,Estadio Alejandro Morera Soto,San Jose,Costa Rica,Costa Rica
1316,25.02.2011,Coliseo Ruminahui,Quito,Ecuador,Ecuador
1315,24.02.2011,Coliseo Voltaire Paladines Polo,Guayaquil,Ecuador,Ecuador
1314,23.02.2011,Movistar Arena,Santiago de Chile,Chile,Chile
1313,21.02.2011,Save Mart Center At Fresno State,Fresno,California,USA
1312,21.02.2011,Save Mart Center At Fresno State,Fresno,California,USA
1311,21.02.2011,Save Mart Center At Fresno State,Fresno,California,USA
1310,20.02.2011,Oracle Arena,Oakland,California,USA
1309,15.02.2011,Valley View Casino Center,San Diego,California,USA
1308,14.02.2011,Honda Center,Anaheim,California,USA
1307,14.02.2011,Honda Center,Anaheim,California,USA
1306,13.02.2011,Rabobank Arena,Bakersfield,California,USA
1305,07.02.2011,Bradley Center,Milwaukee,Wisconsin,USA
1304,07.02.2011,Bradley Center,Milwaukee,Wisconsin,USA
1303,06.02.2011,Wells Fargo Center,Philadelphia,Pennsylvania,USA
1302,04.02.2011,Target Center,Minneapolis,Minnesota,USA
1301,31.01.2011,Dunkin' Donuts Center,Providence,Rhode Island,USA
1300,30.01.2011,TD Garden,Boston,Massachusetts,USA
1299,29.01.2011,MassMutual Center,Springfield,Massachusetts,USA
1298,23.01.2011,Covelli Centre,Youngstown,Ohio,USA
1297,22.01.2011,Bryce Jordan Center,State College,Pennsylvania,USA
1296,21.01.2011,Sun National Bank Center,Trenton,New Jersey,USA
1295,17.01.2011,Verizon Arena,North Little Rock,Arkansas,USA
1294,17.01.2011,Verizon Arena,North Little Rock,Arkansas,USA
1293,15.01.2011,Ford Arena,Beaumont,Texas,USA
1292,14.01.2011,UTC McKenzie Arena,Chattanooga,Tennessee,USA
1291,10.01.2011,Bridgestone Arena,Nashville,Tennessee,USA
1290,28.12.2010,Mohegan Sun Arena At Casey Plaza,Wilkes-Barre,Pennsylvania,USA
1289,27.12.2010,Times Union Center,Albany,New York,USA
1288,26.12.2010,Madison Square Garden,New York City,New York,USA
1287,21.12.2010,AT&T Center,San Antonio,Texas,USA
1286,20.12.2010,Frank Erwin Center,Austin,Texas,USA
1285,20.12.2010,Frank Erwin Center,Austin,Texas,USA
1284,19.12.2010,Toyota Center,Houston,Texas,USA
1283,13.12.2010,New Orleans Arena,New Orleans,Louisiana,USA
1282,13.12.2010,New Orleans Arena,New Orleans,Louisiana,USA
1281,12.12.2010,Mississippi Coast Coliseum,Biloxi,Mississippi,USA
1280,11.12.2010,"Fort Hood, Texas, USA",Fort Hood,Texas,USA
1279,05.12.2010,E.A. Diddle Arena,Bowling Green,Kentucky,USA
1278,04.12.2010,Oman Arena,Jackson,Tennessee,USA
1277,28.11.2010,Wicomico Civic Center,Salisbury,Maryland,USA
1276,15.11.2010,GIANT Center,Hershey,Pennsylvania,USA
1275,13.11.2010,Mediolanum Forum,Mailand,Italy,Italy
1274,12.11.2010,Lanxess Arena,Köln,Nordrhein-Westfalen,Germany
1273,11.11.2010,Zenith Arena,Nantes,France,France
1272,10.11.2010,Olympiahalle,Innsbruck,Tirol,Austria
1271,09.11.2010,O2 Arena,London,England,England
1270,08.11.2010,Manchester Evening News Arena,Manchester,England,England
1269,07.11.2010,Trent FM Arena Nottingham,Nottingham,Nottinghamshire,England
1268,06.11.2010,LG Arena,Birmingham,West Midlands,England
1267,05.11.2010,Cardiff International Arena,Cardiff,Wales,Wales
1266,04.11.2010,Montpellier Arena,Montpellier,France,France
1265,03.11.2010,Palais Nikaia,Nizza,France,France
1264,30.10.2010,XL Center,Hartford,Connecticut,USA
1263,25.10.2010,Resch Center,Green Bay,Wisconsin,USA
1262,25.10.2010,Resch Center,Green Bay,Wisconsin,USA
1261,24.10.2010,Target Center,Minneapolis,Minnesota,USA
1260,18.10.2010,Scotiabank Saddledome,Calgary,Alberta,Canada
1259,11.10.2010,KeyArena,Seattle,Washington,USA
1258,04.10.2010,INTRUST Bank Arena,Wichita,Kansas,USA
1257,04.10.2010,INTRUST Bank Arena,Wichita,Kansas,USA
1256,03.10.2010,American Airlines Center,Dallas,Texas,USA
1255,02.10.2010,Oil Palace,Tyler,Texas,USA
1254,01.10.2010,Ford Center,Oklahoma City,Oklahoma,USA
1253,25.09.2010,Palais Omnisports de Paris-Bercy,Paris,France,France
1252,24.09.2010,Palais Omnisports de Paris-Bercy,Paris,France,France
1251,23.09.2010,Arena D'Coque,Luxemburg,Luxemburg,Luxemburg
1250,22.09.2010,Zenith,Saint-Etienne,France,France
1249,20.09.2010,Conseco Fieldhouse,Indianapolis,Indiana,USA
1248,20.09.2010,Conseco Fieldhouse,Indianapolis,Indiana,USA
1247,19.09.2010,Allstate Arena,Rosemont,Illinois,USA
1246,18.09.2010,Scottrade Center,St. Louis,Missouri,USA
1245,13.09.2010,U.S. Bank Arena,Cincinnati,Ohio,USA
1244,06.09.2010,Verizon Center,Washington,District Of Columbia,USA
1243,06.09.2010,Verizon Center,Washington,District Of Columbia,USA
1242,04.09.2010,Coliseo De Puerto Rico Jose M. Agrelot,San Juan,Puerto Rico,USA
